name,rows,data,index,comment,create,update
app_game,95,0.02MB,0.02MB,APP游戏 - 游戏表,2021-04-12 11:20:42,2021-04-30 09:04:57
app_order,475175,99.28MB,87.59MB,APP游戏 - 订单,2021-04-12 11:20:42,2021-04-30 10:03:26
app_order_game,137536,3.02MB,7.52MB,APP游戏 - 与app_order一对一关系，充值游戏信息,2021-04-12 11:20:42,2021-04-30 10:03:11
ly_amusement_task,66,0.00MB,0.02MB,星球游乐园2.2，游乐园联运游戏今日任务类型表,2021-04-12 11:20:42,2021-04-28 11:12:27
ly_cheetah_users,986943,62.64MB,156.64MB,,2021-04-12 11:20:42,2021-04-30 10:02:18
ly_config,0,0.00MB,0.02MB,联运平台配置信息表,2021-04-12 11:20:42,
ly_curl_analysis,11309,0.53MB,2.52MB,curl执行时间分析表,2021-04-12 11:20:42,
ly_game_active_summary,78977,5.52MB,12.55MB,星球游乐园2.2-联运游戏留存活跃统计,2021-04-12 11:20:42,2021-04-30 01:03:41
ly_game_login_history,355556,14.55MB,39.63MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2019_08,553261,26.59MB,71.70MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2019_09,1711656,144.42MB,192.00MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2019_10,8104325,685.00MB,898.98MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2019_11,11725508,1019.00MB,1283.98MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2019_12,34048782,2927.98MB,3717.00MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2020_01,11583505,949.00MB,1201.00MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2020_02,23282759,1664.00MB,2140.00MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2020_03,13194423,1188.98MB,1496.00MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2020_04,37087623,2919.00MB,3756.00MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
ly_game_login_history_2020_05,12022504,1017.00MB,1273.00MB,星球游乐园2.2-联运游戏登录历史,2021-04-12 11:20:42,
