name,id,name,title,sub_task_id,add_task_id,create_user,create_time,update_time,update_user
钓鱼下竿,1,钓鱼下竿,钓鱼下杆,3,4,admin,1571107619,2019/10/15 10:28,admin
话费兑换金币后台发放,2,话费兑换金币后台发放,话费兑换金币后台发放,3,4,admin,1571107619,2019/10/15 10:28,admin
深海宝藏,3,深海宝藏,深海宝藏,3,4,admin,1571107619,2019/10/15 10:28,admin
钓鱼每日前三杆奖励,4,钓鱼每日前三杆奖励,钓鱼每日前三杆奖励,3,4,admin,1571107619,2019/10/15 10:28,admin
上证竞猜押注,5,上证竞猜押注,上证竞猜押注,7,8,admin,1571107619,2019/10/15 10:28,admin
上证竞猜开奖,6,上证竞猜开奖,上证竞猜开奖,7,8,admin,1571107619,2019/10/15 10:28,admin
转盘抽奖同步开奖,7,转盘抽奖同步开奖,转盘抽奖同步开奖,10,11,admin,1571107619,2019/10/15 10:28,admin
转盘抽奖异步开奖,8,转盘抽奖异步开奖,转盘抽奖异步开奖,10,11,admin,1571107619,2019/10/15 10:28,admin
上证竞猜开奖【上报任务】,9,上证竞猜开奖【上报任务】,上证竞猜开奖【上报任务】,0,8,admin,1571107619,2019/10/15 10:28,admin
深海宝藏春节活动送金币【上报任务】,10,深海宝藏春节活动送金币【上报任务】,深海宝藏春节活动送金币【上报任务】,0,12,admin,1571107619,2019/10/15 10:28,admin
退还金币【上报任务】,11,退还金币【上报任务】,退还金币【上报任务】,0,0,admin,1571107619,2019/10/15 10:28,admin
水族箱获取收益【上报任务】,12,水族箱获取收益【上报任务】,水族箱获取收益【上报任务】,0,13,admin,1571107619,2019/10/15 10:28,admin
水族箱买鱼,13,水族箱买鱼,水族箱买鱼,13,14,admin,1571107619,2019/10/15 10:28,admin
斗地主开局减金币,14,斗地主开局减金币,斗地主开局减金币,15,16,admin,1571107619,2019/10/15 10:28,admin
斗地主结算金币,15,斗地主结算金币,斗地主结算金币,0,16,admin,1571107619,2019/10/15 10:28,admin
星球果园消耗金币,16,星球果园消耗金币,星球果园消耗金币,17,18,admin,1571107619,2019/10/15 10:28,admin
星球果园获取金币,17,星球果园获取金币,星球果园获取金币,0,18,admin,1571107619,2019/10/15 10:28,admin
个股上证竞猜押注,18,个股上证竞猜押注,个股上证竞猜押注,19,20,admin,1571107619,2019/10/15 10:28,admin
个股上证竞猜开奖【上报任务】,19,个股上证竞猜开奖【上报任务】,个股上证竞猜开奖【上报任务】,0,20,admin,1571107619,2019/10/15 10:28,admin
用户放弃转盘游戏券,20,用户放弃转盘游戏券,用户放弃转盘游戏券,0,21,admin,1571107619,2019/10/15 10:28,admin
斗地主每日做任务,21,斗地主每日做任务,斗地主每日做任务,0,22,admin,1571107619,2019/10/15 10:28,admin
星球游乐园新手任务领金币,22,星球游乐园新手任务领金币,星球游乐园新手任务领金币,0,23,admin,1571107619,2019/10/15 10:28,admin
星球游乐园计时红包领金币,23,星球游乐园计时红包领金币,星球游乐园计时红包领金币,0,24,admin,1571107619,2019/10/15 10:28,admin
星球果园任务获取金币,24,星球果园任务获取金币,星球果园任务获取金币,0,18,admin,1571107619,2019/10/15 10:28,admin
星球果园购买特权礼包,25,星球果园购买特权礼包,星球果园购买特权礼包,17,18,admin,1571107619,2019/10/15 10:28,admin
星球退还用户金币,26,星球退还用户金币,星球退还用户金币,0,25,admin,1571107619,2019/10/15 10:28,admin
星球游乐园游戏安装奖励,27,星球游乐园游戏安装奖励,星球游乐园游戏安装奖励,0,27,admin,1571107619,2019/10/15 10:28,admin
星球游乐园完成任务开宝箱,28,星球游乐园完成任务开宝箱,星球游乐园完成任务开宝箱,0,28,admin,1571107619,2019/10/15 10:28,admin
麻将异常结算,29,麻将异常结算,麻将异常结算,34,33,admin,1571107619,2019/10/15 10:28,admin
麻将正常结算,30,麻将正常结算,麻将正常结算,34,33,admin,1571107619,2019/10/15 10:29,admin
斗地主看广告领金币,31,斗地主看广告领金币,斗地主看广告领金币,0,29,admin,1571107619,2019/10/15 10:29,admin
